open_time_ms,open,high,low,close,base_volume,close_time_ms,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
1609459200000,736.42,739.0,729.33,734.07,27932.69884,1609462799999,20479903.4760359,22671,15020.61663,11015918.9722147
1609462800000,734.08,749.0,733.37,748.28,52336.18779,1609466399999,38899618.8530135,41712,27395.9027,20362373.9335029
1609466400000,748.27,749.0,742.27,744.06,33019.501,1609469999999,24606726.4383672,19566,17721.26696,13207123.3520841
1609470000000,744.06,747.23,743.1,744.82,17604.80859,1609473599999,13119088.4004137,12230,9499.7492,7079926.3108748
1609473600000,744.87,747.09,739.3,742.29,18794.15424,1609477199999,13980190.9714686,13626,10133.74211,7539500.2868721
1609477200000,742.34,743.23,739.5,740.65,14948.26447,1609480799999,11079350.2390266,11032,7733.14162,5731472.4157925
1609480800000,740.72,743.25,737.04,739.97,17106.99495,1609484399999,12658465.3899019,12041,7803.15217,5774894.281794
1609484400000,739.87,740.51,734.4,737.38,21624.68945,1609487999999,15934710.9369215,19976,10407.77312,7670628.2297335
1609488000000,737.37,738.48,725.1,730.07,52992.04892,1609491599999,38713139.8352475,38433,23184.47715,16937333.0679656
1609491600000,730.07,734.77,728.77,733.68,22836.46973,1609495199999,16732025.0257024,27347,12351.59569,9050056.5984665
1609495200000,733.69,738.87,733.27,736.81,22895.59711,1609498799999,16854648.5651741,15317,12317.08875,9067175.1701353
1609498800000,736.82,741.76,736.11,738.85,29384.09871,1609502399999,21714429.1119129,16820,14290.33498,10562649.866081
1609502400000,738.85,743.33,732.12,733.19,50190.47228,1609505999999,37052817.5043096,28991,26605.75907,19648257.0722184
1609506000000,733.19,741.99,733.0,740.08,23543.56362,1609509599999,17364322.3754941,17334,13975.81456,10307816.1509774
1609509600000,740.08,742.67,736.46,738.0,22098.37395,1609513199999,16337048.3578516,17075,12812.55607,9473455.7757508
1609513200000,738.01,740.0,733.5,735.39,25671.61199,1609516799999,18909549.3415675,20847,12484.28998,9199052.1961992
1609516800000,735.39,737.73,733.01,735.83,22249.34205,1609520399999,16368621.7550852,15461,12220.1753,8990872.705043
1609520400000,735.76,736.45,726.57,727.94,40914.26505,1609523999999,29902944.3557101,24734,17435.35692,12744050.3657862
1609524000000,727.94,731.8,714.29,724.6,66427.75355,1609527599999,48068143.6005898,41949,28442.33941,20584419.0482298
1609527600000,724.57,728.28,720.95,725.34,26866.35862,1609531199999,19458522.3046609,18323,13879.19268,10055377.2623967
1609531200000,725.34,730.71,722.5,729.48,22422.29118,1609534799999,16308761.6073057,16358,11908.10461,8663259.6611729
1609534800000,729.48,730.61,726.69,728.23,14582.15316,1609538399999,10627095.6000123,10537,7484.03192,5454580.5253864
