arm,cost,time,equity,cash,position_value,mode,capital_mode
F0,1,2022-04-01 00:00:00+00:00,50000.0,50000.0,0.0,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-02 00:00:00+00:00,50626.99604597001,32602.889554250007,18024.106491720002,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-03 00:00:00+00:00,50444.68264557407,34102.10078757407,16342.581858000001,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-04 00:00:00+00:00,50827.37301522407,34102.10078757407,16725.27222765,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-05 00:00:00+00:00,50685.212684314385,32818.83435143439,17866.378332880002,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-06 00:00:00+00:00,50298.20640175086,32120.17348035086,18178.0329214,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-07 00:00:00+00:00,49076.30193066964,31826.87806583963,17249.42386483,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-08 00:00:00+00:00,49527.72604190714,32309.173758997138,17218.55228291,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-09 00:00:00+00:00,48890.787420693676,30246.931975193675,18643.855445499998,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-10 00:00:00+00:00,49183.756654595054,28935.288657155055,20248.46799744,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-11 00:00:00+00:00,48895.77113539803,33348.34644519803,15547.4246902,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-12 00:00:00+00:00,47900.779215564195,34514.12164291419,13386.65757265,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-13 00:00:00+00:00,48251.3148236872,34976.256897647196,13275.05792604,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
F0,1,2022-04-14 00:00:00+00:00,48470.62136488927,39488.04858888927,8982.572775999999,REDECIDE_FUNDED,FIVE_EQUAL_INITIAL_SLEEVES_NO_TRANSFERS
