arm,cost,reason,fills
F0,1,EVALUATION_END,2
F0,1,FIRST_TREND_ENTRY,104
F0,1,ORDINARY_RISK_REDUCE,890
F0,1,ORDINARY_RISK_RESTORE,924
F0,1,QUARTER_EXIT,23
F0,1,TREND_EXIT,79
F1,1,EVALUATION_END,2
F1,1,FIRST_TREND_ENTRY,104
F1,1,ORDINARY_RISK_REDUCE,882
F1,1,ORDINARY_RISK_RESTORE,825
F1,1,QUARTER_EXIT,23
F1,1,TREND_EXIT,79
F2,1,EVALUATION_END,2
F2,1,FIRST_TREND_ENTRY,82
F2,1,ORDINARY_RISK_REDUCE,901
F2,1,ORDINARY_RISK_RESTORE,937
F2,1,TREND_EXIT,80
F3,1,EVALUATION_END,2
F3,1,FIRST_TREND_ENTRY,82
F3,1,ORDINARY_RISK_REDUCE,890
F3,1,ORDINARY_RISK_RESTORE,851
F3,1,TREND_EXIT,80
F4,1,EVALUATION_END,5
F4,1,FIRST_TREND_ENTRY,44
F4,1,ORDINARY_RISK_REDUCE,937
F4,1,ORDINARY_RISK_RESTORE,953
F4,1,TREND_EXIT,39
F5,1,EVALUATION_END,5
F5,1,FIRST_TREND_ENTRY,5
F5,1,ORDINARY_RISK_REDUCE,1823
F5,1,ORDINARY_RISK_RESTORE,1849
G0,1,EVALUATION_END,2
G0,1,FIRST_TREND_ENTRY,82
G0,1,ORDINARY_RISK_REDUCE,890
G0,1,ORDINARY_RISK_RESTORE,851
G0,1,TREND_EXIT,80
G1,1,EVALUATION_END,2
G1,1,FIRST_TREND_ENTRY,82
G1,1,ORDINARY_RISK_REDUCE,12
G1,1,TREND_EXIT,80
G1,1.5,EVALUATION_END,2
G1,1.5,FIRST_TREND_ENTRY,82
G1,1.5,ORDINARY_RISK_REDUCE,7
G1,1.5,TREND_EXIT,80
G1,2,EVALUATION_END,2
G1,2,FIRST_TREND_ENTRY,82
G1,2,ORDINARY_RISK_REDUCE,3
G1,2,TREND_EXIT,80
G1_H10,1,EVALUATION_END,2
G1_H10,1,FIRST_TREND_ENTRY,82
G1_H10,1,ORDINARY_RISK_REDUCE,20
G1_H10,1,TREND_EXIT,80
G1_H3,1,EVALUATION_END,2
G1_H3,1,FIRST_TREND_ENTRY,82
G1_H3,1,ORDINARY_RISK_REDUCE,11
G1_H3,1,TREND_EXIT,80
G1_PASSIVE,1,EVALUATION_END,5
G1_PASSIVE,1,FIRST_TREND_ENTRY,5
G1_PASSIVE,1,ORDINARY_RISK_REDUCE,9
G1_PASSIVE,1.5,EVALUATION_END,5
G1_PASSIVE,1.5,FIRST_TREND_ENTRY,5
G1_PASSIVE,1.5,ORDINARY_RISK_REDUCE,6
G1_PASSIVE,2,EVALUATION_END,5
G1_PASSIVE,2,FIRST_TREND_ENTRY,5
G1_PASSIVE,2,ORDINARY_RISK_REDUCE,2
G1_R24,1,EVALUATION_END,2
G1_R24,1,FIRST_TREND_ENTRY,82
G1_R24,1,ORDINARY_RISK_REDUCE,3
G1_R24,1,TREND_EXIT,80
G1_R72,1,EVALUATION_END,2
G1_R72,1,FIRST_TREND_ENTRY,82
G1_R72,1,ORDINARY_RISK_REDUCE,25
G1_R72,1,TREND_EXIT,80
