open_time_ms,open,high,low,close,base_volume,close_time_ms,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
1741392000000,2141.6,2153.27,2130.54,2152.19,9311.7152,1741395599999,19933050.554336,91978,5042.9329,10800026.038304
1741395600000,2152.2,2156.0,2105.06,2133.08,23291.065,1741399199999,49508727.286004,138981,10475.544,22273313.312471
1741399200000,2133.07,2145.69,2131.32,2143.79,8874.9107,1741402799999,18973346.477051,77211,4531.7344,9688560.519505
1741402800000,2143.79,2143.79,2124.61,2137.8,8409.586,1741406399999,17956666.75914,70632,3740.846,7990683.234275
1741406400000,2137.8,2152.69,2131.4,2150.01,9585.5448,1741409999999,20566155.274114,76885,5619.2174,12058662.233671
1741410000000,2150.01,2150.27,2133.4,2140.21,5103.89,1741413599999,10933437.282777,55071,2262.9881,4849673.363246
1741413600000,2140.21,2145.69,2133.16,2139.48,5450.3302,1741417199999,11665414.37627,53930,2289.3841,4901056.04766
1741417200000,2139.47,2148.0,2134.36,2137.88,5913.5796,1741420799999,12665522.31467,46347,3122.1478,6687424.018088
1741420800000,2137.89,2141.11,2126.78,2128.52,7469.2114,1741424399999,15927223.890686,63067,2857.9442,6094993.741981
1741424400000,2128.52,2143.5,2126.66,2129.82,7489.409,1741427999999,15989057.945248,60269,3495.3206,7462138.13103
1741428000000,2129.83,2140.99,2127.71,2139.61,6950.1205,1741431599999,14835885.109862,50690,3382.6291,7220923.105731
1741431600000,2139.6,2142.4,2127.31,2141.95,10211.9747,1741435199999,21791869.260359,86039,5213.2233,11127241.055431
1741435200000,2141.95,2173.69,2138.1,2168.59,28221.3316,1741438799999,60922589.329671,152490,17011.9107,36728477.477354
1741438800000,2168.6,2198.86,2166.41,2190.21,28663.3086,1741442399999,62593836.961126,145652,15868.8227,34653776.999192
1741442400000,2190.21,2195.5,2174.92,2178.81,20052.3845,1741445999999,43785334.685677,111036,8476.5368,18512602.445498
1741446000000,2178.8,2191.71,2167.69,2181.4,12664.1535,1741449599999,27596271.155909,97881,6686.6746,14573201.31375
1741449600000,2181.4,2198.32,2161.14,2189.99,19765.4009,1741453199999,43034629.886189,123762,10997.4125,23964559.528769
1741453200000,2189.99,2219.67,2179.73,2198.93,38633.4507,1741456799999,85130618.475187,187231,19827.9096,43685771.485007
