open_time_ms,open,high,low,close,base_volume,close_time_ms,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
1741392000000,2.3855,2.4106,2.3678,2.406,8267120.0,1741395599999,19742955.8123,52021,4458941.0,10654017.933
1741395600000,2.4059,2.4089,2.3385,2.3677,9032855.0,1741399199999,21368759.0041,65507,3845773.0,9097753.6482
1741399200000,2.3676,2.3734,2.3562,2.3604,4876162.0,1741402799999,11530067.5145,37431,2057762.0,4867675.9632
1741402800000,2.3605,2.3607,2.3274,2.3435,9987558.0,1741406399999,23389105.6838,57200,4072733.0,9541588.1574
1741406400000,2.3435,2.3758,2.3317,2.3683,5678737.0,1741409999999,13395338.847,42363,2624639.0,6188808.7442
1741410000000,2.3684,2.3695,2.3398,2.349,4154741.0,1741413599999,9772476.6768,30021,1779725.0,4183349.1107
1741413600000,2.3489,2.363,2.3476,2.3592,3046325.0,1741417199999,7175694.6512,26194,1431463.0,3372154.1976
1741417200000,2.3591,2.3747,2.357,2.362,3068013.0,1741420799999,7261909.757,21166,1493269.0,3535333.1058
1741420800000,2.3619,2.3688,2.3375,2.341,5173046.0,1741424399999,12160217.7106,35135,2459798.0,5782696.9602
1741424400000,2.341,2.3621,2.32,2.3305,5266399.0,1741427999999,12308171.1543,34406,2292952.0,5360709.1623
1741428000000,2.3302,2.3497,2.3298,2.3398,4284075.0,1741431599999,10027087.9574,29313,2198476.0,5145612.4237
1741431600000,2.3399,2.3403,2.3013,2.3164,6163563.0,1741435199999,14286218.8434,47102,2465461.0,5713954.1838
1741435200000,2.3164,2.3432,2.3063,2.3343,5252496.0,1741438799999,12232779.7211,42668,2680942.0,6243124.072
1741438800000,2.3343,2.357,2.3314,2.3476,4601955.0,1741442399999,10802815.6659,52312,2448995.0,5748995.263
1741442400000,2.3477,2.366,2.3423,2.3507,4634709.0,1741445999999,10912959.5234,49497,2450075.0,5770864.0544
1741446000000,2.3506,2.3656,2.3361,2.3513,3417985.0,1741449599999,8039858.0393,40886,1644997.0,3871100.8825
1741449600000,2.3513,2.3553,2.3121,2.3362,8058121.0,1741453199999,18768017.7825,75601,3507495.0,8167005.8636
1741453200000,2.3361,2.3524,2.3106,2.348,4777249.0,1741456799999,11147511.6618,72370,2322974.0,5417826.5027
1741456800000,2.348,2.3557,2.3295,2.3389,2464292.0,1741460399999,5769975.3562,39360,1069212.0,2503142.4439
1741460400000,2.339,2.36,2.3282,2.356,3337811.0,1741463999999,7838953.7851,47407,1752412.0,4115261.0079
1741464000000,2.356,2.3589,2.3395,2.3462,2186889.0,1741467599999,5136723.1827,27158,1003067.0,2355611.5998
1741467600000,2.3461,2.3635,2.3451,2.3495,2238486.0,1741471199999,5274471.2742,28925,1220081.0,2874657.2844
