open_time_ms,open,high,low,close,base_volume,close_time_ms,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
1741392000000,139.39,140.88,138.57,140.69,151978.225,1741395599999,21212301.81538,95785,80293.907,11214850.0236
1741395600000,140.69,141.09,137.8,139.44,263054.642,1741399199999,36563165.80681,106405,130004.751,18062491.7805
1741399200000,139.44,140.03,138.76,139.69,82165.478,1741402799999,11461725.46778,56838,48645.632,6787001.75964
1741402800000,139.68,139.97,138.33,139.68,67070.611,1741406399999,9336552.63422,46750,31575.192,4398793.94407
1741406400000,139.67,141.03,138.95,140.93,123127.567,1741409999999,17291772.04305,61037,72274.255,10153258.00759
1741410000000,140.94,140.94,138.68,139.28,124383.84,1741413599999,17369776.298,49597,75569.874,10553352.45149
1741413600000,139.28,140.0,138.63,139.14,49425.989,1741417199999,6881305.63616,43421,22832.18,3179340.55931
1741417200000,139.15,139.88,138.33,138.78,61360.457,1741420799999,8538734.30238,47052,31304.483,4357088.94495
1741420800000,138.77,139.01,137.61,137.83,66781.355,1741424399999,9234064.99873,49566,28603.142,3955934.41501
1741424400000,137.83,139.21,137.73,137.97,61284.494,1741427999999,8485803.00399,48306,30677.504,4248518.18005
1741428000000,137.97,138.75,137.77,138.34,51221.867,1741431599999,7087595.41378,33836,23768.552,3288368.6567
1741431600000,138.33,138.34,136.64,137.58,129586.094,1741435199999,17791031.57284,77136,57652.353,7917616.77824
1741435200000,137.57,138.38,136.65,137.64,92562.631,1741438799999,12746533.52747,70092,47683.586,6567441.65555
1741438800000,137.63,138.75,137.23,137.63,127044.39,1741442399999,17531319.62253,73248,63934.93,8824980.45171
1741442400000,137.63,138.1,136.8,137.06,72917.813,1741445999999,10027649.54001,50302,35970.428,4946851.43999
1741446000000,137.05,137.69,136.07,137.21,70159.605,1741449599999,9609493.00653,53711,33081.073,4532419.27034
1741449600000,137.21,137.41,135.39,136.15,155439.019,1741453199999,21155950.0142,77238,80111.732,10905753.57418
1741453200000,136.14,137.39,135.29,137.03,109140.536,1741456799999,14887657.14168,76806,55169.202,7527774.975
1741456800000,137.03,137.94,136.62,137.75,44040.513,1741460399999,6047323.27467,34056,27287.102,3747168.34031
1741460400000,137.76,138.92,137.2,138.45,53937.322,1741463999999,7449428.02506,39845,27388.677,3783875.32138
1741464000000,138.45,138.59,137.56,137.65,29926.824,1741467599999,4130161.01187,28937,11720.751,1617017.70316
1741467600000,137.65,138.54,137.25,137.33,45063.599,1741471199999,6216720.62927,27398,18583.798,2564106.90033
1741471200000,137.32,137.55,136.32,137.31,66304.689,1741474799999,9075540.07673,35610,32376.836,4432778.2818
1741474800000,137.32,137.75,136.51,137.01,37773.833,1741478399999,5178656.11736,35305,19290.093,2645371.37333
1741478400000,137.01,138.22,136.53,138.05,43568.436,1741481999999,5997810.43106,37303,20998.32,2890620.96953
1741482000000,138.05,138.51,137.42,137.86,46674.65,1741485599999,6438385.29251,34165,21166.026,2921273.79949
1741485600000,137.87,138.11,136.9,137.14,54045.022,1741489199999,7435366.7204,32243,26311.046,3620523.13185
1741489200000,137.15,138.32,136.8,137.92,43805.908,1741492799999,6025063.27039,34120,21134.051,2907522.77122
1741492800000,137.91,138.66,137.67,138.49,37013.334,1741496399999,5111974.71752,26571,21938.917,3030152.49848
1741496400000,138.5,139.5,138.06,138.8,78575.838,1741499999999,10916774.04363,37903,41798.664,5808257.7196
1741500000000,138.79,138.81,137.7,138.54,55547.799,1741503599999,7679838.07518,38412,27160.602,3756136.84819
1741503600000,138.55,139.88,138.32,139.63,68498.931,1741507199999,9544266.40653,43965,37907.771,5282070.06238
1741507200000,139.63,139.78,138.9,139.22,68316.343,1741510799999,9525755.22498,41643,32335.77,4509714.9226
1741510800000,139.22,139.59,137.85,138.02,79864.066,1741514399999,11079632.0782,40251,32691.838,4538358.13037
1741514400000,138.02,138.31,135.63,136.0,176499.157,1741517999999,24131279.01177,81005,64453.666,8817982.35489
1741518000000,136.01,136.8,135.61,136.32,136929.681,1741521599999,18649031.35221,75118,69554.624,9473643.53252
1741521600000,136.32,136.43,134.42,135.49,203745.183,1741525199999,27599766.31734,94851,88869.595,12042543.112
1741525200000,135.48,135.5,133.09,133.12,217807.491,1741528799999,29265084.38094,102370,88905.002,11948035.0033
1741528800000,133.13,133.99,132.27,133.29,278856.449,1741532399999,37117249.39777,130189,131977.636,17573331.18661
1741532400000,133.29,133.52,129.75,130.16,372441.311,1741535999999,48785727.94938,134249,166803.347,21848256.59297
1741536000000,130.16,131.54,127.71,127.94,385518.674,1741539599999,49836164.45772,203062,162227.41,20994258.91458
1741539600000,127.93,128.63,126.36,126.52,348152.634,1741543199999,44486341.03247,168134,164446.223,21029022.69207
1741543200000,126.52,128.54,125.81,127.6,313129.586,1741546799999,39759924.17431,186805,154999.195,19701887.59541
1741546800000,127.6,130.03,127.51,129.19,187289.541,1741550399999,24135807.77803,94498,97467.83,12560630.7809
1741550400000,129.19,130.59,128.31,128.31,168661.684,1741553999999,21824287.89486,83802,77228.073,9999543.30653
1741554000000,128.32,128.67,127.22,127.9,116649.141,1741557599999,14916967.37753,65191,51050.322,6531152.63788
1741557600000,127.9,128.04,126.51,126.93,168077.384,1741561199999,21361749.84305,76823,75158.237,9553690.9349
1741561200000,126.93,127.75,125.41,126.51,259827.409,1741564799999,32892351.25952,121470,123241.108,15612305.01711
1741564800000,126.52,127.96,124.03,127.39,369531.817,1741568399999,46590193.35898,190234,157456.439,19896193.58728
1741568400000,127.4,128.4,126.58,127.35,184442.227,1741571999999,23520723.21094,103623,94916.705,12105911.4636
1741572000000,127.35,129.11,126.69,127.54,234278.022,1741575599999,30007125.92713,90706,117204.478,15027771.57907
1741575600000,127.54,127.61,126.43,126.59,135855.474,1741579199999,17240689.08541,59167,71977.041,9135503.32823
1741579200000,126.59,128.35,126.46,128.34,92487.574,1741582799999,11802212.0722,42775,52197.832,6660525.01827
1741582800000,128.33,129.25,127.6,127.63,358453.513,1741586399999,46020724.32563,82973,188387.103,24180653.76817
1741586400000,127.64,128.0,126.7,127.47,115512.129,1741589999999,14713340.02735,53965,48546.654,6184401.39064
1741590000000,127.48,128.33,127.15,128.11,74573.892,1741593599999,9522594.43392,45797,41188.886,5261104.42505
1741593600000,128.11,128.5,125.91,126.15,185200.76,1741597199999,23540035.98215,92814,72861.864,9269262.05928
1741597200000,126.14,131.57,126.13,128.21,421482.468,1741600799999,54503988.63699,255324,208333.856,26940256.80052
1741600800000,128.2,128.89,126.71,127.67,139343.995,1741604399999,17780619.45259,99015,55299.904,7057858.79603
1741604400000,127.68,130.44,127.34,129.94,147622.209,1741607999999,19010342.36759,96008,76862.432,9903876.49104
1741608000000,129.94,130.89,128.32,129.42,145756.336,1741611599999,18877831.64245,123169,68374.818,8857729.4461
1741611600000,129.42,129.64,124.8,125.0,294772.296,1741615199999,37368671.46551,195250,123807.46,15717853.01703
1741615200000,125.0,125.06,120.18,121.3,760365.963,1741618799999,92864740.99724,447141,327298.815,39984419.30832
1741618800000,121.3,124.2,120.72,121.96,460418.832,1741622399999,56427128.9492,175694,224636.958,27522767.36954
1741622400000,121.95,122.36,120.14,120.76,259977.994,1741625999999,31449814.23643,109174,117281.017,14192431.93252
1741626000000,120.76,120.93,116.63,117.59,717268.144,1741629599999,84853739.71136,288908,320009.222,37840293.41074
1741629600000,117.58,119.53,115.47,115.81,537965.253,1741633199999,63291768.91396,206796,247765.269,29193338.55675
1741633200000,115.86,120.21,115.49,119.71,424359.336,1741636799999,50139133.59094,191925,242890.081,28716832.5006
1741636800000,119.72,120.24,117.56,118.72,213786.773,1741640399999,25478937.41867,82202,109897.566,13103209.14592
1741640400000,118.72,120.0,118.14,118.79,124874.818,1741643999999,14879531.72361,56619,70330.739,8381877.91739
1741644000000,118.79,119.48,117.6,119.03,123364.078,1741647599999,14621066.49459,68887,66105.688,7838763.97251
1741647600000,119.03,119.92,117.95,118.32,132415.428,1741651199999,15774195.56656,74053,66795.541,7961141.76797
1741651200000,118.32,119.68,112.0,115.68,896342.364,1741654799999,103094623.41827,328916,425184.328,48836852.09565
1741654800000,115.67,119.27,113.85,119.16,615524.95,1741658399999,71837489.40599,275202,339256.955,39625261.47062
1741658400000,119.17,120.66,119.1,120.02,313278.996,1741661999999,37608149.58088,139254,174311.453,20926933.63649
1741662000000,120.03,121.9,119.8,119.96,157831.626,1741665599999,19052349.07453,81295,83015.479,10023810.59014
1741665600000,119.95,121.51,119.75,121.02,121121.364,1741669199999,14634513.18226,62949,73158.946,8841353.64263
1741669200000,121.01,123.87,120.95,123.28,322942.471,1741672799999,39683225.82608,110642,172145.777,21152457.14526
