arm,symbol,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points,final_cash_decimal,closed_trades,win_rate,total_cost,fills,mean_holding_days,terminal_mtm_at_exit_reference,exit_reference_time
BUY_HOLD,BTCUSDT,0.16641745995131063,0.35627951550450576,0.9893560617213646,1.2263807142167227,0.29051297967618317,10000.0,11664.174599513091,1664.1745995130914,0.3812684453571547,-0.017951415458557263,-0.04206877206377868,125.0,0.9711191335740073,0.9891043397643777,0.9972924187725631,0.9917896909130594,1108,11664.17459951309069344222721,1,1.0,32.36730288690931,2,184.16666666666666,11681.40350921202235363358919,2026-09-08 08:00:00+00:00
BUY_HOLD,ETHUSDT,0.2669131277313306,0.5973692590991087,1.1696535716292398,1.6376618127880094,0.36476960898424293,10000.0,12669.131277313305,2669.131277313305,0.511762442351458,-0.024564497655245283,-0.047706260947993795,126.16666666666667,0.9747292418772563,0.9891202311532008,0.9972924187725631,0.9918056254459244,1108,12669.13127731330416307801450,1,1.0,34.768206686695834,2,184.16666666666666,12688.25510151573459640104741,2026-09-08 08:00:00+00:00
BUY_HOLD,BNBUSDT,0.21750312145530915,0.4763963738545747,1.2220077064371468,1.7988484242820242,0.26483408353025584,10000.0,12175.031214553062,2175.0312145530625,0.37690226267618265,-0.01821339761780877,-0.031413724682848865,97.16666666666667,0.9765342960288809,0.9888162738157713,0.9972924187725631,0.9915008428849542,1108,12175.03121455306322231661609,1,1.0,33.56303544693678,2,184.16666666666666,12193.63166079314324149837951,2026-09-08 08:00:00+00:00
BUY_HOLD,SOLUSDT,0.24429793879440842,0.5414143793572672,1.0622467804175038,1.4648738687524585,0.3695979503125112,10000.0,12442.97938794408,2442.9793879440804,0.5482015264469295,-0.025244961945788052,-0.04103913572482221,105.0,0.973826714801444,0.9887660780733101,0.9972924187725631,0.9914505108644593,1108,12442.97938794407983870008226,1,1.0,35.02274205592016,2,184.16666666666666,12462.29966648523599109751490,2026-09-08 08:00:00+00:00
BUY_HOLD,XRPUSDT,0.025894424525288562,0.051912643285048965,0.3580006265131009,0.14600330882797655,0.3555579918138244,10000.0,10258.944245252878,258.9442452528783,0.5287799607054636,-0.023884669837810363,-0.04786194413648537,157.83333333333334,0.983754512635379,0.9881111678749579,0.9972924187725631,0.9907938226293695,1108,10258.94424525287868377381493,1,1.0,31.041054747121315,2,184.16666666666666,10274.76164020144790249032461,2026-09-08 08:00:00+00:00
CASH,BTCUSDT,0.0,0.0,,,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108,10000.00,0,,0.0,0,0.0,10000.00,2026-09-08 08:00:00+00:00
CASH,ETHUSDT,0.0,0.0,,,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108,10000.00,0,,0.0,0,0.0,10000.00,2026-09-08 08:00:00+00:00
CASH,BNBUSDT,0.0,0.0,,,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108,10000.00,0,,0.0,0,0.0,10000.00,2026-09-08 08:00:00+00:00
CASH,SOLUSDT,0.0,0.0,,,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108,10000.00,0,,0.0,0,0.0,10000.00,2026-09-08 08:00:00+00:00
CASH,XRPUSDT,0.0,0.0,,,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108,10000.0000,0,,0.0,0,0.0,10000.0000,2026-09-08 08:00:00+00:00
