arm,months,start,end,identity,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points
BUY_HOLD,6,2026-03-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.18420521449152694,0.3975312251610772,0.996223307339013,1.4186950254525807,0.28020907808164053,50000.0,59210.260724576416,9210.260724576416,0.42742885446738993,-0.020283187079522046,-0.03580356897979664,102.0,0.9729241877256317,0.988814829566313,0.9972924187725631,0.9914993947144569,1108
BUY_HOLD,3,2026-06-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.3290189196915414,2.074547180767797,2.8280291984309205,15.057204618606999,0.13777771062526223,44551.856897807585,59210.260724576416,14658.40382676883,0.429724599746415,-0.0186342532676983,-0.03580356897979664,64.83333333333333,0.947841726618705,0.9892807774036566,0.9982014388489209,0.9910632652908704,556
BUY_HOLD,1,2026-08-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.2982962827532538,19.634614650495685,6.674259129844471,305.2270332835537,0.06432790188756077,45606.12358760759,59210.260724576416,13604.137136968828,0.47021934499577067,-0.01697799831708079,-0.029388703322150822,9.833333333333334,0.8736842105263158,0.9867340621054556,0.9947368421052631,0.9919548772488707,190
CASH,6,2026-03-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108
CASH,3,2026-06-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556
CASH,1,2026-08-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190
F2,6,2026-03-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.06752652691953998,0.1381003288804421,1.2254713408203064,2.0672218353285836,0.06680479400919792,50000.0,53376.32634597689,3376.326345976893,0.1105266452555309,-0.0053384560264488085,-0.013678009240994382,100.5,0.7915162454873647,0.19258690261217914,0.6633574007220217,0.2903214804004006,1108
F2,3,2026-06-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.09365104057350648,0.42402824891711033,2.9236302447925624,17.279385867113866,0.024539543950119258,48805.62845529467,53376.32634597689,4570.697890682226,0.12350638548143567,-0.005014121105980568,-0.013182709584724006,27.833333333333332,0.6798561151079137,0.20339089027770565,0.7158273381294964,0.284134007523629,556
F2,1,2026-08-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.11051544610776398,2.3718528765246165,6.235305563029369,96.65431767378641,0.024539543950118703,48064.46099696786,53376.32634597689,5311.865349009036,0.1981069244479906,-0.006835438431773944,-0.013182709584724006,9.833333333333334,0.8736842105263158,0.3869268861819025,0.9947368421052631,0.3889741183839232,190
F3,6,2026-03-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.06070972777443484,0.12375813448599504,1.1635497782577624,1.8781883805468078,0.06589229055392443,50000.0,53035.48638872182,3035.4863887218235,0.1050058108013719,-0.0052615344207016706,-0.013648553189956725,101.16666666666667,0.7933212996389891,0.18903007611884562,0.6633574007220217,0.2849596249519469,1108
F3,3,2026-06-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.08276391856849608,0.36886854671705893,2.794935133189798,16.1147301628477,0.022890147274540196,48981.57897507254,53035.48638872182,4053.9074136492854,0.11468854975331444,-0.00499593787028261,-0.011934788246133698,27.833333333333332,0.6780575539568345,0.19829029812507162,0.7158273381294964,0.2770085571797482,556
F3,1,2026-08-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.09996477587708341,2.0185389408027983,6.138784695076188,88.18374633386298,0.022890147274539974,48215.622492486305,53035.48638872182,4819.863896235518,0.18271355494933664,-0.006712273222385945,-0.011934788246133698,9.833333333333334,0.8631578947368421,0.3785347428564025,0.9947368421052631,0.380537572183685,190
F4,6,2026-03-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.028268489526491525,0.056737178432213486,1.0110661350264862,1.6468814977801518,0.03445128171558798,50000.0,51413.42447632445,1413.4244763244496,0.0561383962949469,-0.0027606330986101385,-0.009150437155611924,102.83333333333333,0.7933212996389891,0.08842818398281022,0.6642599277978339,0.13312286393064363,1108
F4,3,2026-06-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.04620551892110414,0.19525526915135694,2.6656710235881516,11.237638606182749,0.017375115537523245,49142.75784871068,51413.42447632445,2270.6666276137694,0.0677718224711096,-0.00305775131567132,-0.009150437155611924,27.833333333333332,0.6744604316546763,0.09647340926243572,0.7158273381294964,0.13477189836661876,556
F4,1,2026-08-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.05119237166953616,0.784063378979883,5.143569579611038,45.12564979994592,0.017375115537523467,48909.624786058994,51413.42447632445,2503.799690265456,0.11381790472110796,-0.0049665263047744546,-0.009150437155611924,9.833333333333334,0.8526315789473684,0.22138277078694588,0.9947368421052631,0.222554108198517,190
F5,6,2026-03-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.10022843285624528,0.20815479125359526,1.0367271054377365,1.4531086844485612,0.1432479163336552,50000.0,55011.421642812486,5011.4216428124855,0.20202009246762,-0.00949457124977939,-0.016320529357883973,101.83333333333333,0.9693140794223827,0.4901920898817563,0.9972924187725631,0.4915229281348289,1108
F5,3,2026-06-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.16437453153426218,0.8237984434063865,3.020536894197648,14.598153403704917,0.056431688352946874,47245.46969463994,55011.421642812486,7765.951948172544,0.20594614267547023,-0.008447476923842841,-0.015349146116917067,64.83333333333333,0.9460431654676259,0.4998480220404844,0.9982014388489209,0.5007486491072239,556
F5,1,2026-08-08T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,SLICE_OF_CONTINUOUS_SIX_MONTH_ACCOUNT,0.16370953330109228,4.8007443170087125,7.202230270214648,209.391723833527,0.022927096778788902,47272.46797296713,55011.421642812486,7738.953669845352,0.24841414469616954,-0.007685215735125128,-0.01193170649478803,9.833333333333334,0.868421052631579,0.5269473633241679,0.9947368421052631,0.5297354446115974,190
