arm,cost_multiplier,final_equity,total_cost
F3,0,53397.5024523,0.0
BUY_HOLD,0.5,59293.64087030504,83.38219609496024
F3,2,52673.478305150085,724.0241471499141
F4,0.5,51494.03783789518,80.61416926482315
CASH,2,50000.0,0.0
F3,0.5,53216.493423010106,181.00902928989586
F5,0.5,55162.86756736527,151.45042363473047
CASH,0,50000.0,0.0
BUY_HOLD,0,59377.0230664,0.0
CASH,0.5,50000.0,0.0
F4,2,51252.200176265294,322.4518308947001
F2,2,52919.59470201911,913.4740772808933
CASH,1,50000.0,0.0
F4,1.5,51332.81192244783,241.84008471217322
F2,1.5,53147.95917532734,685.1096039726615
F4,1,51413.42447632445,161.22753083554755
F5,0,55314.317990999996,0.0
BUY_HOLD,1.5,59126.88262921413,250.14043718586947
F2,0.5,53604.696213967785,228.37256533221486
F5,2,54708.54329095277,605.7747000472323
F3,1,53035.48638872182,362.0160635781802
F5,1,55011.421642812486,302.8963481875127
BUY_HOLD,2,59043.50658421818,333.51648218181845
BUY_HOLD,1,59210.260724576416,166.7623418235834
F2,0,53833.0687793,0.0
F4,0,51574.65200716,0.0
F3,1.5,52854.48134943515,543.021102864853
F2,1,53376.32634597689,456.74243332310203
F5,1.5,54859.980217341654,454.33777365834663
CASH,1.5,50000.0,0.0
